"year","month","dayofmonth","arrdelay_mean","depdelay_mean","n","date"
2008,1,1,19.2113244071624,19.0139537379917,19187,2008-01-01
2008,1,2,21.2300274133542,22.1652888519298,20954,2008-01-02
2008,1,3,13.8317766149934,16.1123057374646,20937,2008-01-03
2008,1,4,11.5585249328158,13.7585813492063,20929,2008-01-04
2008,1,5,15.9034502423724,17.3864191222393,18069,2008-01-05
2008,1,6,14.6968021284365,16.8224211512439,19897,2008-01-06
2008,1,7,10.2334247131688,12.0660157830838,20347,2008-01-07
2008,1,8,9.69864949748744,10.4850843738572,19604,2008-01-08
2008,1,9,1.33618204283361,4.60808517204135,19820,2008-01-09
2008,1,10,6.1254390366282,7.44570226407534,20305,2008-01-10
2008,1,11,7.47620010106114,9.63016393442623,20349,2008-01-11
2008,1,12,-4.53429868695545,1.52184020555488,16572,2008-01-12
2008,1,13,2.42568332524664,5.47751237357435,18947,2008-01-13
2008,1,14,2.49335064935065,5.10244434065079,20178,2008-01-14
2008,1,15,0.681901184327229,3.91059619890653,19504,2008-01-15
2008,1,16,0.916666666666667,3.17223810761632,19768,2008-01-16
2008,1,17,19.087852494577,17.5956503813647,20277,2008-01-17
2008,1,18,10.3114395183361,11.1213838353713,20348,2008-01-18
2008,1,19,7.97882874079864,10.114356339036,16255,2008-01-19
2008,1,20,2.97612443574264,6.38161469086168,18653,2008-01-20
2008,1,21,19.9669998979904,18.8318241937125,20133,2008-01-21
2008,1,22,17.2841249465126,16.2351338355506,19505,2008-01-22
2008,1,23,10.1869338885997,9.91663634946209,19771,2008-01-23
2008,1,24,7.5307804412282,7.93223314606742,20258,2008-01-24
2008,1,25,11.485602955316,11.6210329492622,20314,2008-01-25
2008,1,26,4.46597951182497,5.81294918673559,16282,2008-01-26
2008,1,27,19.494058752338,19.9856705316123,18922,2008-01-27
2008,1,28,9.53129339161738,11.2938702231341,20149,2008-01-28
2008,1,29,10.3447028981596,9.94121124187221,19498,2008-01-29
2008,1,30,4.41200567197101,6.785403449903,19767,2008-01-30
2008,1,31,23.8682970255551,20.6661801501251,20266,2008-01-31
2008,2,1,25.8137094648036,24.5037309511298,20334,2008-02-01
2008,2,2,4.27485048788165,7.46741657764092,16176,2008-02-02
2008,2,3,14.1688520055325,14.3699785088444,18857,2008-02-03
2008,2,4,19.5230020239593,18.5697422568768,20163,2008-02-04
2008,2,5,15.8026416330095,14.9832863034513,19490,2008-02-05
2008,2,6,16.3279661984698,15.2202593284638,19760,2008-02-06
2008,2,7,7.32899778181085,8.66799234796617,20254,2008-02-07
2008,2,8,9.27492477432297,10.4872745490982,20308,2008-02-08
2008,2,9,0.508920718683252,4.01297968397291,16142,2008-02-09
2008,2,10,12.3246556025599,12.7841874560312,18895,2008-02-10
2008,2,11,9.78197957822361,11.6608321817903,20139,2008-02-11
2008,2,12,26.8466610312764,21.7499019333147,19480,2008-02-12
2008,2,13,22.3858648881239,22.2551587725863,19868,2008-02-13
2008,2,14,10.2775755190397,11.5204873734892,20699,2008-02-14
2008,2,15,10.6981416618019,11.6669096209913,20800,2008-02-15
2008,2,16,8.00700187118971,9.96959702566563,17052,2008-02-16
2008,2,17,17.9410677272982,19.1299309115222,18867,2008-02-17
2008,2,18,19.6652828489971,20.0928236350933,20498,2008-02-18
2008,2,19,8.51826813143113,10.4915313167437,20379,2008-02-19
2008,2,20,7.39566329039237,8.97968496982188,20624,2008-02-20
2008,2,21,15.2687182581586,14.5305651672434,20744,2008-02-21
2008,2,22,28.566023498976,25.8218486492293,20777,2008-02-22
2008,2,23,10.4401127571523,12.7843454305905,17092,2008-02-23
2008,2,24,9.60030236680221,11.8447324588799,19480,2008-02-24
2008,2,25,9.782714941153,11.2783054050022,20704,2008-02-25
2008,2,26,21.7164739141609,18.9733565609469,20351,2008-02-26
2008,2,27,3.75333532457188,6.27136603323052,20335,2008-02-27
2008,2,28,2.5498958436663,5.50697881607602,20461,2008-02-28
2008,2,29,11.1164778374081,12.1622144985104,20507,2008-02-29
2008,3,1,2.49144356329378,6.17081744518589,16973,2008-03-01
2008,3,2,7.27536004189578,9.18750326524215,19379,2008-03-02
2008,3,3,12.4243262268705,12.6045169385194,20630,2008-03-03
2008,3,4,15.6796257796258,14.7877614252517,20275,2008-03-04
2008,3,5,8.39707643184993,10.2343999202552,20561,2008-03-05
2008,3,6,7.4677730410069,8.5049610205528,20679,2008-03-06
2008,3,7,23.0314529739682,20.6646133482666,20699,2008-03-07
2008,3,8,30.302616464582,28.8596446860972,17273,2008-03-08
2008,3,9,13.7573883161512,16.6900813351643,19545,2008-03-09
2008,3,10,8.16143408933346,10.9248752038749,20635,2008-03-10
2008,3,11,1.55110149884317,5.35604351531559,20283,2008-03-11
2008,3,12,3.80644046031511,7.3339578916227,20572,2008-03-12
2008,3,13,3.30927835051546,5.94661161039592,20710,2008-03-13
2008,3,14,8.73614686027876,9.69034696646637,20746,2008-03-14
2008,3,15,17.9867347537712,18.1444165547837,17301,2008-03-15
2008,3,16,9.99111386650134,11.5083243131797,19570,2008-03-16
2008,3,17,8.16240911770485,8.77312202541583,20651,2008-03-17
2008,3,18,19.0356338878823,18.9295139831659,20299,2008-03-18
2008,3,19,25.0383687015991,24.2526458343783,20590,2008-03-19
2008,3,20,12.6936495491964,14.2269368178926,20721,2008-03-20
2008,3,21,16.2154187981192,16.506102899521,20735,2008-03-21
2008,3,22,6.96454646340751,10.2804806907012,17308,2008-03-22
2008,3,23,2.71526231291108,6.19023229344508,19445,2008-03-23
2008,3,24,2.35770094735814,5.54534373476353,20655,2008-03-24
